user_id,signup_ts,country,acquisition_channel,signup_intent,platform
user_0,2026-01-12T03:06:11.174159,IN,organic,build_app,desktop
user_1,2026-01-24T08:59:27.258170,CA,social,build_app,desktop
user_2,2026-01-18T21:44:25.963673,IN,referral,build_app,web
user_3,2025-12-25T03:13:25.554683,US,organic,build_app,desktop
user_4,2025-12-28T12:10:46.515735,DE,organic,build_app,web
user_5,2026-01-23T07:26:15.795701,US,organic,build_app,desktop
user_6,2025-12-15T05:41:11.504151,IN,organic,build_app,web
user_7,2026-01-20T22:55:36.090672,US,organic,build_app,web
user_8,2026-01-19T20:50:05.938988,IN,paid,learn,web
user_9,2026-01-05T01:22:11.096656,IN,referral,build_app,desktop
user_10,2025-12-28T15:16:30.075473,DE,referral,learn,web
user_11,2025-12-27T12:41:58.779848,IN,organic,prototype,desktop
user_12,2025-12-26T11:15:32.956799,IN,organic,prototype,web
user_13,2026-01-04T00:40:56.677272,BR,paid,learn,web
user_14,2026-01-06T16:54:43.630829,US,paid,build_app,desktop
user_15,2026-01-08T21:46:37.704866,BR,paid,build_app,web
user_16,2026-01-28T19:08:25.101993,DE,referral,build_app,desktop
user_17,2026-01-19T16:04:29.541903,DE,organic,internal_tool,desktop
user_18,2026-01-11T23:57:12.844067,US,organic,build_app,web
user_19,2026-01-28T12:04:37.054187,US,organic,prototype,web
user_20,2025-12-24T16:32:00.218740,CA,organic,prototype,web
user_21,2025-12-22T05:01:44.387639,GB,organic,build_app,web
user_22,2026-01-11T13:32:33.981414,CA,paid,prototype,web
user_23,2025-12-16T23:27:26.526954,IN,organic,learn,desktop
user_24,2025-12-16T14:32:04.923872,GB,paid,internal_tool,desktop
user_25,2026-01-07T04:04:47.733215,GB,referral,prototype,web
user_26,2026-01-04T23:30:09.026465,IN,paid,learn,desktop
user_27,2026-01-25T06:32:28.302174,CA,referral,build_app,desktop
user_28,2026-01-12T07:33:51.677461,GB,referral,prototype,desktop
user_29,2026-01-07T03:14:49.409979,US,organic,build_app,web
user_30,2026-01-06T08:37:23.916810,US,paid,build_app,desktop
user_31,2025-12-26T03:18:58.016842,US,organic,build_app,web
user_32,2025-12-15T12:44:15.171309,IN,organic,build_app,web
user_33,2025-12-23T15:47:39.535815,DE,paid,build_app,desktop
user_34,2026-01-15T03:23:40.885989,IN,paid,build_app,web
